鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中正區,土地,河堤段一小段480地號,20.25,都市：其他:道路用地(公共設施用地)。56/9/9,,,1120815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2057323,101596,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPUNMLKKLHIGFAA17EA,0.0,0.0,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區峨眉街１１５號七樓,41.35,商,,,1120817,土地4建物1車位0,七層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0781129,365.3,0,0,0,無,有,22500000,61593,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKMQHIGFBA67EA,259.45,0.0,13.87,有,0168
中山區,建物,臺北市中山區濱江街１５４巷２弄３號,0.0,,,,1120817,土地0建物1車位0,全,二層,透天厝,,加強磚造,,122.04,0,0,0,無,無,4188888,34324,,0.0,0,木板隔間，1樓1衛，2樓1衛，預計拆除。；建物坐落地號僅設定地上權無所有權：大佳段二小段724地號；頂樓加蓋；協議價購；,RPVOMLLJRHIGFCA08DA,122.04,0.0,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區和平西路三段３８２巷２弄１１號四樓,18.19,住,,,1120811,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640606,51.92,3,1,1,有,無,3300000,63559,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLTLQHIGFBA98DA,45.97,0.0,5.96,無,0166
大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段１０６號二樓之８,5.35,商,,,1120814,土地2建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0930409,64.06,1,1,1,有,有,15800000,246644,坡道機械,25.72,0,夾層；其他增建；,RPUNMLPLQHIGFFA68DA,25.02,0.0,0.0,有,
信義區,房地(土地+建物),臺北市信義區吳興街１７９號四樓,7.59,商,,,1120807,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810312,39.209999999999994,1,0,1,有,無,8700000,221882,,0.0,0,,RPXNMLLKQHIGFDA38EA,31.28,1.53,3.67,有,
士林區,房地(土地+建物),臺北市士林區德行東路１９０巷３１弄１３號四樓,27.84,住,,,1120806,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720223,110.83,3,2,2,有,無,17880000,161328,,0.0,0,,RPTNMLOLQHIGFEA38DA,90.37,0.0,11.26,無,
士林區,土地,三玉段二小段309地號,21.0,都市：其他:道路用地(公共設施用地)。66/1/12,,,1120828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2690000,128095,,0.0,0,包含公共設施保留地用地；,RPQPMLLJRHIGFEA87DA,0.0,0.0,0.0,無,
南港區,房地(土地+建物),臺北市南港區八德路四段８９５號十一樓之１,6.5,商,,,1120810,土地1建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,60.06,2,1,1,有,有,3600000,59930,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLKQHIGFDA18EA,33.87,2.03,5.36,有,
士林區,房地(土地+建物),臺北市士林區中山北路七段１１４巷６１弄１號六樓,25.12,住,,,1120808,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700624,145.8,3,2,2,有,有,18800000,128944,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPQNMLSLQHIGFEA48DA,95.16,0.0,30.4,有,
